Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,LDSBankConflict,L2CacheHit,SALUBusy,VALUBusy,VALUUtilization,GPUBusy
0,"Cijk_Ailk_Bljk_SB_MT128x144x16_MI16x16x4x1_SE_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW1_GSU1_GSUAMB_GLS0_ISA908_IU1_K1_KLA_LBSPP128_LPA0_LPB2_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS0_NLCA2_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR5_RK0_SIA3_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW2_SSO0_SVW4_SNLL0_TT2_144_TLDS1_USFGROn1_VAW1_VSn1_VW1_WSGRA1_WSGRB1_WS64_WG64_4_1_WGM2.kd",0,0,0,14298,14298,3735552,256,18432,0,84,96,1776960,0x0,0x7f4cac508480,2.7284035801,56.6434499404,2.4201285784,24.6261322234,99.9986686782,100.0000000000
1,"Cijk_Ailk_Bljk_SB_MT128x144x16_MI16x16x4x1_SE_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW1_GSU1_GSUAMB_GLS0_ISA908_IU1_K1_KLA_LBSPP128_LPA0_LPB2_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS0_NLCA2_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR5_RK0_SIA3_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW2_SSO0_SVW4_SNLL0_TT2_144_TLDS1_USFGROn1_VAW1_VSn1_VW1_WSGRA1_WSGRB1_WS64_WG64_4_1_WGM2.kd",0,0,3,14298,14298,3735552,256,18432,0,84,96,1776960,0x0,0x7f4cac508480,2.7576870960,59.9876516109,2.4461034284,24.8904405323,99.9986686782,100.0000000000
2,"gemm_kernel1(float*, float*, float*, int, int, int) [clone .kd]",0,0,6,14298,14298,268435456,32,0,0,12,24,5120,0x0,0x7f4cb53a7dc0,0.0000000000,3.1077611013,5.8510551751,29.2563611857,49.9999756565,100.0000000000
3,"gemm_kernel1(float*, float*, float*, int, int, int) [clone .kd]",0,0,9,14298,14298,268435456,32,0,0,12,24,5120,0x0,0x7f4cb53a7dc0,0.0000000000,3.7379790083,5.8206047139,29.1041025440,49.9999768374,100.0000000000
4,"gemm_kernel2(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,12,14298,14298,268435456,256,2048,0,28,40,6336,0x0,0x7f4cb53a7e00,0.0000000000,49.4528124842,14.5339616222,49.6143114013,99.9617446028,100.0000000000
5,"gemm_kernel2(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,15,14298,14298,268435456,256,2048,0,28,40,6336,0x0,0x7f4cb53a7e00,0.0000000000,49.4549397830,14.5248692954,49.5832505565,99.9617900444,100.0000000000
6,"gemm_kernel3(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,18,14298,14298,16777216,256,8192,0,60,48,9600,0x0,0x7f4cb53a7e40,34.6852238544,73.1482714714,5.7123832512,75.5555964472,99.9999974477,100.0000000000
7,"gemm_kernel3(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,21,14298,14298,16777216,256,8192,0,60,48,9600,0x0,0x7f4cb53a7e40,35.5583439610,73.5232056324,5.8561792577,77.4575333515,99.9999975647,100.0000000000
8,"gemm_kernel3(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,24,14298,14298,16777216,256,8192,0,60,48,9600,0x0,0x7f4cb53a7e40,35.5265364742,73.7446829537,5.8509408150,77.3882463117,99.9999976710,100.0000000000
9,"gemm_kernel3(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,27,14298,14298,16777216,256,8192,0,60,48,9600,0x0,0x7f4cb53a7e40,35.4805413423,73.3686874678,5.8433657790,77.2880541540,99.9999975889,100.0000000000
10,"gemm_kernel3_2(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,30,14298,14298,4194304,256,8192,0,64,48,19456,0x0,0x7f4cb53a7ec0,37.7857196900,84.7995350815,3.9190559854,87.7996768640,100.0000000000,100.0000000000
11,"gemm_kernel3_2(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,33,14298,14298,4194304,256,8192,0,64,48,19456,0x0,0x7f4cb53a7ec0,37.8649383061,84.7800539072,3.9272723750,87.9837508729,100.0000000000,100.0000000000
12,"gemm_kernel3_3(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,36,14298,14298,4194304,256,8192,0,64,48,26048,0x0,0x7f4cb53a7f00,37.4987722236,84.5516885784,3.8892290004,88.1374166101,100.0000000000,100.0000000000
13,"gemm_kernel3_3(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,39,14298,14298,4194304,256,8192,0,64,48,26048,0x0,0x7f4cb53a7f00,37.6362485158,84.8047876957,3.9034875148,88.4605419958,100.0000000000,100.0000000000
14,"gemm_kernel3_4(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,42,14298,14298,4194304,256,8704,0,64,48,32640,0x0,0x7f4cb53a7f40,27.7819706256,84.5214802503,3.9551830357,84.7924953944,99.9988571250,100.0000000000
15,"gemm_kernel3_4(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,45,14298,14298,4194304,256,8704,0,64,48,32640,0x0,0x7f4cb53a7f40,27.3321841992,83.3753344280,3.8911491459,83.4199341429,99.9985957717,100.0000000000
16,"gemm_kernel3_5(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,48,14298,14298,4194304,256,8704,0,64,48,38976,0x0,0x7f4cb53a7f80,10.4375433415,84.0173582278,3.9883797272,85.5077138309,99.9988233904,100.0000000000
17,"gemm_kernel3_5(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,51,14298,14298,4194304,256,8704,0,64,48,38976,0x0,0x7f4cb53a7f80,10.6909832820,84.6443063863,4.0852238492,87.5837884856,99.9990367774,100.0000000000
18,"gemm_kernel3_6(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,54,14298,14298,4194304,256,16896,0,64,48,47616,0x0,0x7f4cb53a7fc0,10.7677722497,85.9030110971,2.7985429562,85.5181435398,99.9993980990,100.0000000000
19,"gemm_kernel3_6(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,57,14298,14298,4194304,256,16896,0,64,48,47616,0x0,0x7f4cb53a7fc0,10.7665580672,86.0239523337,2.7982273902,85.5084992583,99.9993994886,100.0000000000
20,"gemm_kernel4(float*, float*, float*, int, int, int, int, int, int) [clone .kd]",0,0,60,14298,14298,16777216,256,9728,0,52,32,49600,0x0,0x7f4cb53a8000,30.1259060069,39.2141644517,2.6681190020,73.1493393867,99.9988712382,100.0000000000
